timestamp,glucose_value_mg_dl
2022-09-15 00:00:00,89.0
2022-09-15 00:05:00,88.0
2022-09-15 00:10:00,82.0
2022-09-15 00:15:00,82.0
2022-09-15 00:20:00,83.0
2022-09-15 00:25:00,86.0
2022-09-15 00:30:00,89.0
2022-09-15 00:35:00,90.0
2022-09-15 00:40:00,92.0
2022-09-15 00:45:00,94.0
2022-09-15 00:50:00,93.0
2022-09-15 00:55:00,96.0
2022-09-15 01:00:00,98.0
2022-09-15 01:05:00,102.0
2022-09-15 01:10:00,104.0
2022-09-15 01:15:00,103.0
2022-09-15 01:20:00,105.0
2022-09-15 01:25:00,106.0
2022-09-15 01:30:00,109.0
2022-09-15 01:35:00,110.0
2022-09-15 01:40:00,111.0
2022-09-15 01:45:00,111.0
2022-09-15 01:50:00,111.0
2022-09-15 01:55:00,110.0
2022-09-15 02:00:00,109.0
2022-09-15 02:05:00,110.0
2022-09-15 02:10:00,114.0
2022-09-15 02:15:00,107.0
2022-09-15 02:20:00,114.0
2022-09-15 02:25:00,118.0
2022-09-15 02:30:00,111.0
2022-09-15 02:35:00,118.0
2022-09-15 02:40:00,119.0
2022-09-15 02:45:00,121.0
2022-09-15 02:50:00,122.0
2022-09-15 02:55:00,124.0
2022-09-15 03:00:00,122.0
2022-09-15 03:05:00,124.0
2022-09-15 03:10:00,122.0
2022-09-15 03:15:00,117.0
2022-09-15 03:20:00,118.0
2022-09-15 03:25:00,128.0
2022-09-15 03:30:00,123.0
2022-09-15 03:35:00,131.0
2022-09-15 03:40:00,131.0
2022-09-15 03:45:00,119.0
2022-09-15 03:50:00,128.0
2022-09-15 03:55:00,130.0
2022-09-15 04:00:00,131.0
2022-09-15 04:05:00,132.0
2022-09-15 04:10:00,129.0
2022-09-15 04:15:00,130.0
2022-09-15 04:20:00,128.0
2022-09-15 04:25:00,126.0
2022-09-15 04:30:00,126.0
2022-09-15 04:35:00,99.0
2022-09-15 04:40:00,111.0
2022-09-15 04:45:00,116.0
2022-09-15 04:50:00,119.0
2022-09-15 04:55:00,121.0
2022-09-15 05:00:00,118.0
2022-09-15 05:05:00,117.0
2022-09-15 05:10:00,116.0
2022-09-15 05:15:00,114.0
2022-09-15 05:20:00,114.0
2022-09-15 05:25:00,113.0
2022-09-15 05:30:00,111.0
2022-09-15 05:35:00,109.0
2022-09-15 05:40:00,106.0
2022-09-15 05:45:00,87.0
2022-09-15 05:50:00,94.0
2022-09-15 05:55:00,93.0
2022-09-15 06:00:00,94.0
2022-09-15 06:05:00,94.0
2022-09-15 06:10:00,96.0
2022-09-15 06:15:00,93.0
2022-09-15 06:20:00,93.0
2022-09-15 06:25:00,95.0
2022-09-15 06:30:00,95.0
2022-09-15 06:35:00,93.0
2022-09-15 06:40:00,77.0
2022-09-15 06:45:00,89.0
2022-09-15 06:50:00,91.0
2022-09-15 06:55:00,90.0
2022-09-15 07:00:00,93.0
2022-09-15 07:05:00,90.0
2022-09-15 07:10:00,85.0
2022-09-15 07:15:00,75.0
2022-09-15 07:20:00,82.0
2022-09-15 07:25:00,80.0
2022-09-15 07:30:00,86.0
2022-09-15 07:35:00,90.0
2022-09-15 07:40:00,89.0
2022-09-15 07:45:00,106.0
2022-09-15 07:50:00,118.0
2022-09-15 07:55:00,131.0
2022-09-15 08:00:00,132.0
2022-09-15 08:05:00,127.0
2022-09-15 08:10:00,119.0
2022-09-15 08:15:00,113.0
2022-09-15 08:20:00,107.0
2022-09-15 08:25:00,103.0
2022-09-15 08:30:00,100.0
2022-09-15 08:35:00,97.0
2022-09-15 08:40:00,94.0
2022-09-15 08:45:00,92.0
2022-09-15 08:50:00,95.0
2022-09-15 08:55:00,99.0
2022-09-15 09:00:00,99.0
2022-09-15 09:05:00,97.0
2022-09-15 09:10:00,94.0
2022-09-15 09:15:00,93.0
2022-09-15 09:20:00,93.0
2022-09-15 09:25:00,93.0
2022-09-15 09:30:00,94.0
2022-09-15 09:35:00,94.0
2022-09-15 09:40:00,95.0
2022-09-15 09:45:00,70.0
2022-09-15 09:50:00,81.0
2022-09-15 09:55:00,87.0
2022-09-15 10:00:00,89.0
2022-09-15 10:05:00,92.0
2022-09-15 10:10:00,94.0
2022-09-15 10:15:00,96.0
2022-09-15 10:20:00,98.0
2022-09-15 10:25:00,101.0
2022-09-15 10:30:00,107.0
2022-09-15 10:35:00,111.0
2022-09-15 10:40:00,109.0
2022-09-15 10:45:00,109.0
2022-09-15 10:50:00,103.0
2022-09-15 10:55:00,106.0
2022-09-15 11:00:00,91.0
2022-09-15 11:05:00,107.0
2022-09-15 11:10:00,108.0
2022-09-15 11:15:00,101.0
2022-09-15 11:20:00,90.0
